segment,avg_order_value
Northeast,111.83425913212226
Northeast,121.66383884564799
Northeast,102.73509633866546
Northeast,125.63547027518509
Northeast,110.99041965121792
Northeast,115.62459375310085
Northeast,110.97440081655904
Northeast,147.78417276763406
Northeast,119.79754162893099
Northeast,104.1343360656615
Northeast,132.33817368154783
Northeast,101.68734525043466
Northeast,123.13295392507133
Northeast,90.60494814180336
Northeast,100.07720926652354
Northeast,122.95291853803685
Northeast,131.07699869993115
Northeast,122.57052421784955
Northeast,118.2652757641764
Northeast,115.48344456616067
Northeast,97.8221701444886
Northeast,109.20233687407936
Northeast,113.09041843560318
Northeast,135.85683339328372
Northeast,125.15427434352692
Northeast,93.554397669559
Northeast,124.86125954092192
Northeast,114.22376579375525
Northeast,109.84616999541062
Northeast,129.17514433261303
Northeast,135.46499283743927
Northeast,133.96920178674299
Northeast,107.41173715166042
Northeast,115.36181436223178
Northeast,124.96895147105346
Northeast,134.6331769068354
Northeast,112.81238643232065
Northeast,117.21511535004274
Northeast,103.40497538990958
Northeast,102.05690063878994
Northeast,132.18788733591296
Northeast,140.34360042856235
Northeast,118.91984817629499
Northeast,135.05299346838035
Northeast,125.42454037571451
Northeast,110.32320368092313
Northeast,125.4209340826262
Northeast,143.07054849698955
Northeast,119.46260941335073
Northeast,143.4696548372101
Northeast,80.70382343865383
Northeast,132.32853756562835
Northeast,121.30570602357257
Northeast,115.51488974301198
Northeast,121.37641164803253
Northeast,90.18646628098661
Northeast,116.70492168243732
Northeast,125.35668857267619
Northeast,142.16841067112273
Northeast,112.22594672589528
Northeast,107.87259595660218
Northeast,112.47364434623195
Northeast,133.7310317655311
Northeast,124.93126664489526
Northeast,112.05359694349441
Northeast,127.69901149670034
Northeast,121.4561632402206
Northeast,134.52967485799334
Northeast,109.46920359183972
Northeast,115.08506780103347
Northeast,114.11837770301763
Northeast,98.04727577801822
Northeast,124.44180415596864
Northeast,123.91582908269834
Northeast,120.07670184963692
Northeast,116.4811929993728
Northeast,98.76943886924379
Northeast,113.69032015851961
Northeast,114.85928225209845
Northeast,107.96584096167571
Northeast,117.58071432500986
Northeast,126.06076285221808
Northeast,148.29278851815795
Northeast,122.61866719247759
Northeast,123.86325586084146
Northeast,118.8833112635075
Northeast,91.21843177051437
Northeast,119.60229186826174
Northeast,120.90345314911539
Northeast,156.9486316872793
Northeast,117.11458552828316
Northeast,124.52321013500419
Northeast,119.47932345442135
Northeast,102.46982943570701
Northeast,137.14234221772531
Northeast,131.2789954903016
Northeast,131.8654792056457
Northeast,106.35918817807891
Northeast,141.04191466404149
Northeast,98.97223405811579
Northeast,128.80285640700404
Northeast,152.8568343871497
Northeast,105.14195512303968
Northeast,111.50553405595842
Northeast,121.49477047631461
Northeast,112.44786518825701
Northeast,96.74004853400801
Northeast,121.0284446220904
Northeast,104.06544429410843
Northeast,127.10388645952773
Northeast,106.20863648649295
Northeast,143.24901607526309
Northeast,108.25120061495645
Northeast,115.16907725691486
Northeast,132.20275826054504
Northeast,101.53703525349067
Northeast,123.41189901906193
Northeast,139.60714131423643
Northeast,95.88775148158159
Northeast,122.76950787798457
Northeast,123.89824191372635
Northeast,131.72734307665965
Northeast,101.44573933682877
Northeast,100.19315080373586
Northeast,127.82912348425346
Northeast,124.45477009849779
Northeast,123.75739275518815
Northeast,125.19672314245464
Northeast,109.79962917632264
Northeast,123.48380545741506
Northeast,124.39608709948021
Northeast,109.28472872960448
Northeast,147.98661766717134
