date,churn_rate
2023-01-01,0.054967141530112326
2023-02-01,0.05296518307524468
2023-03-01,0.06517253755491997
2023-04-01,0.07827377682494982
2023-05-01,0.06504977060059272
2023-06-01,0.0693977608652908
2023-07-01,0.09187908467681305
2023-08-01,0.08810912990022475
2023-09-01,0.08008786483630266
2023-10-01,0.09455603521846835
2023-11-01,0.0888440839414406
2023-12-01,0.09316878942081917
2024-01-01,0.10459353575913861
2024-02-01,0.0873889366838568
2024-03-01,0.09362038689226097
2024-04-01,0.1095945160119381
2024-05-01,0.10943690618796012
2024-06-01,0.12705551680421362
2024-07-01,0.1191806288100053
2024-08-01,0.118485658638821
2024-09-01,0.15161300942834596
2024-10-01,0.13904658482122162
2024-11-01,0.14632745595992272
2024-12-01,0.13575251813786543
